Seller,Department,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers
Camila Carvalho,Casa,7700.85,6419.09,0.44,0.29,2018-10-06,47,214
Diego Cardoso,Vestuário,469.98,6316.9,0.2,0.17,2018-10-06,3,5
Jorge Santos,Brinquedo,9880.58,3056.38,0.32,0.2,2018-10-06,60,94
Raphael Silva,Papelaria,3949.29,2000.92,0.68,0.54,2018-10-06,29,60
Caroline Reis,Papelaria,3250.73,2442.92,0.31,0.45,2018-10-06,21,60
Letícia Nascimento,Eletrônicos,2402.48,8044.15,0.23,0.23,2018-10-07,15,46
Ana Sousa,Eletrônicos,12247.72,5557.41,0.31,0.23,2018-10-07,71,272
Gustavo Martins,Eletrônicos,9072.16,6434.01,0.12,0.24,2018-10-07,63,182
Beatriz Santos,Vestuário,1449.86,6878.07,0.07,0.15,2018-10-07,8,29
Camila Lima,Vestuário,1557.5,4478.49,0.17,0.2,2018-10-07,8,28
Thiago Barbosa,Acessórios,3825.61,2438.39,0.34,0.58,2018-10-07,18,73
Letícia Ribeiro,Acessórios,3352.03,2227.18,0.32,0.58,2018-10-07,20,76
Enzo Nascimento,Casa,1167.12,8711.28,0.37,0.29,2018-10-07,5,18
Guilherme Santos,Casa,9440.46,7981.45,0.25,0.32,2018-10-07,59,152
Vitória Ribeiro,Brinquedo,8711.89,8514.92,0.35,0.23,2018-10-07,47,149
Julia Araújo,Esportes,1809.34,6935.74,0.48,0.27,2018-10-07,8,11
Lucas Rodrigues,Esportes,14163.26,7127.75,0.47,0.36,2018-10-07,101,237
Thiago Carvalho,Esportes,6636.74,9161.06,0.45,0.29,2018-10-07,35,102
Mateus Barbosa,Eletrônicos,11981.9,6556.93,0.17,0.22,2018-10-07,75,205
Camila Carvalho,Casa,16973.28,4277.61,0.22,0.26,2018-10-07,117,332
Diego Cardoso,Vestuário,1207.08,2529.45,0.11,0.15,2018-10-07,6,28
Jorge Santos,Brinquedo,10735.54,3543.46,0.2,0.24,2018-10-07,69,191
Raphael Silva,Papelaria,3182.85,2502.52,0.72,0.5,2018-10-07,21,50
Caroline Reis,Papelaria,3131.89,2451.04,0.5,0.54,2018-10-07,20,56
Letícia Nascimento,Eletrônicos,16796.43,5637.6,0.14,0.18,2018-10-08,111,187
Ana Sousa,Eletrônicos,2243.09,8025.3,0.26,0.18,2018-10-08,9,18
Gustavo Martins,Eletrônicos,2273.33,6049.44,0.29,0.23,2018-10-08,11,27
Beatriz Santos,Vestuário,6422.0,5062.64,0.2,0.2,2018-10-08,39,134
Camila Lima,Vestuário,11018.61,8210.88,0.09,0.14,2018-10-08,66,241
Thiago Barbosa,Acessórios,2068.74,3296.52,0.72,0.54,2018-10-08,9,31
Letícia Ribeiro,Acessórios,5308.0,3181.41,0.26,0.42,2018-10-08,36,116
Enzo Nascimento,Casa,21728.02,11210.9,0.21,0.26,2018-10-08,128,257
Guilherme Santos,Casa,1727.06,7089.28,0.33,0.3,2018-10-08,9,40
Vitória Ribeiro,Brinquedo,10946.23,6033.06,0.18,0.22,2018-10-08,66,206
Julia Araújo,Esportes,12729.28,7093.37,0.22,0.31,2018-10-08,86,308
Lucas Rodrigues,Esportes,1862.01,4980.31,0.44,0.3,2018-10-08,14,36
Thiago Carvalho,Esportes,3165.77,9897.91,0.4,0.35,2018-10-08,20,28
Mateus Barbosa,Eletrônicos,14373.2,4558.7,0.16,0.21,2018-10-08,99,187
Camila Carvalho,Casa,16417.06,3601.28,0.21,0.25,2018-10-08,167,379
Diego Cardoso,Vestuário,7895.12,2786.54,0.13,0.18,2018-10-08,56,143
Jorge Santos,Brinquedo,2475.86,7469.78,0.38,0.27,2018-10-08,14,58
Raphael Silva,Papelaria,4649.51,2958.62,0.4,0.49,2018-10-08,32,127
Caroline Reis,Papelaria,4256.68,1348.94,0.61,0.52,2018-10-08,27,40
Letícia Nascimento,Eletrônicos,8548.78,10598.26,0.09,0.17,2018-10-09,53,229
Ana Sousa,Eletrônicos,12624.03,3879.76,0.12,0.22,2018-10-09,93,253
Gustavo Martins,Eletrônicos,14930.86,6443.14,0.3,0.23,2018-10-09,101,226
Beatriz Santos,Vestuário,11342.02,5815.3,0.2,0.17,2018-10-09,72,235
Camila Lima,Vestuário,2557.58,6290.32,0.24,0.18,2018-10-09,14,63
Thiago Barbosa,Acessórios,240.44,2568.28,0.34,0.58,2018-10-09,2,7
Letícia Ribeiro,Acessórios,853.18,3889.15,0.4,0.42,2018-10-09,3,14
Enzo Nascimento,Casa,10784.52,10215.45,0.19,0.26,2018-10-09,66,161
Guilherme Santos,Casa,3400.85,12254.85,0.41,0.24,2018-10-09,20,69
Vitória Ribeiro,Brinquedo,9746.71,2487.64,0.22,0.23,2018-10-09,53,208
Julia Araújo,Esportes,13668.93,7732.08,0.31,0.3,2018-10-09,89,314
Lucas Rodrigues,Esportes,9841.25,10636.83,0.21,0.27,2018-10-09,53,198
Thiago Carvalho,Esportes,3221.21,9826.09,0.26,0.29,2018-10-09,21,84
Mateus Barbosa,Eletrônicos,821.3,4749.32,0.29,0.18,2018-10-09,2,6
Camila Carvalho,Casa,8874.36,12952.8,0.24,0.26,2018-10-09,59,237
Diego Cardoso,Vestuário,3837.38,8249.4,0.11,0.2,2018-10-09,23,77
Jorge Santos,Brinquedo,1397.34,3220.45,0.13,0.24,2018-10-09,11,48
Raphael Silva,Papelaria,1356.19,1621.67,0.47,0.5,2018-10-09,6,23
Caroline Reis,Papelaria,1767.13,1232.71,0.54,0.4,2018-10-09,11,16
Letícia Nascimento,Eletrônicos,7325.24,10840.39,0.09,0.23,2018-10-10,44,157
Ana Sousa,Eletrônicos,12005.71,11851.58,0.23,0.22,2018-10-10,80,297
Gustavo Martins,Eletrônicos,6249.13,8034.35,0.14,0.19,2018-10-10,35,96
Beatriz Santos,Vestuário,5679.09,4517.03,0.25,0.19,2018-10-10,36,127
Camila Lima,Vestuário,6405.82,2815.29,0.15,0.17,2018-10-10,36,144
Thiago Barbosa,Acessórios,6578.01,1767.8,0.26,0.58,2018-10-10,44,77
Letícia Ribeiro,Acessórios,2440.37,1727.71,0.66,0.42,2018-10-10,14,20
Enzo Nascimento,Casa,3487.75,6844.77,0.18,0.25,2018-10-10,20,90
Guilherme Santos,Casa,15002.93,11003.22,0.39,0.29,2018-10-10,98,285
Vitória Ribeiro,Brinquedo,12332.2,6693.35,0.31,0.26,2018-10-10,74,100
Julia Araújo,Esportes,8723.61,12614.45,0.31,0.33,2018-10-10,53,144
Lucas Rodrigues,Esportes,20883.4,5352.7,0.2,0.35,2018-10-10,143,355
Thiago Carvalho,Esportes,10568.92,12670.04,0.29,0.26,2018-10-10,72,259
Mateus Barbosa,Eletrônicos,8562.2,3757.05,0.13,0.22,2018-10-10,47,66
Camila Carvalho,Casa,17804.11,10124.66,0.22,0.22,2018-10-10,125,353
Diego Cardoso,Vestuário,4644.04,8776.08,0.17,0.14,2018-10-10,30,117
Jorge Santos,Brinquedo,15243.16,9083.05,0.1,0.24,2018-10-10,108,380
Raphael Silva,Papelaria,885.94,2514.87,0.7,0.49,2018-10-10,8,29
Caroline Reis,Papelaria,3259.69,1522.94,0.65,0.49,2018-10-10,21,34
Letícia Nascimento,Eletrônicos,2727.22,11421.52,0.23,0.18,2018-10-11,15,36
Ana Sousa,Eletrônicos,17951.2,11294.98,0.12,0.23,2018-10-11,137,626
Gustavo Martins,Eletrônicos,14194.17,4640.6,0.29,0.23,2018-10-11,93,349
Beatriz Santos,Vestuário,3980.61,4321.06,0.13,0.17,2018-10-11,29,51
Camila Lima,Vestuário,6207.88,6556.9,0.23,0.18,2018-10-11,42,117
Thiago Barbosa,Acessórios,3212.84,3316.0,0.44,0.52,2018-10-11,21,81
Letícia Ribeiro,Acessórios,6720.48,2404.8,0.5,0.54,2018-10-11,42,173
Enzo Nascimento,Casa,514.91,11655.68,0.34,0.24,2018-10-11,2,7
Guilherme Santos,Casa,3341.47,9858.44,0.3,0.31,2018-10-11,20,88
Vitória Ribeiro,Brinquedo,11645.57,9522.81,0.34,0.28,2018-10-11,83,325
Julia Araújo,Esportes,404.21,9404.55,0.3,0.38,2018-10-11,3,7
Lucas Rodrigues,Esportes,2857.12,8687.32,0.16,0.38,2018-10-11,21,57
Thiago Carvalho,Esportes,6193.62,4125.06,0.34,0.27,2018-10-11,41,168
Mateus Barbosa,Eletrônicos,14277.31,6130.26,0.31,0.24,2018-10-11,95,154
Camila Carvalho,Casa,16751.39,11741.67,0.29,0.29,2018-10-11,171,724
Diego Cardoso,Vestuário,4901.47,6845.44,0.15,0.2,2018-10-11,30,95
Jorge Santos,Brinquedo,8433.81,3840.64,0.15,0.25,2018-10-11,51,160
Raphael Silva,Papelaria,3233.07,2713.16,0.22,0.5,2018-10-11,20,53
Caroline Reis,Papelaria,4266.94,2336.13,0.38,0.38,2018-10-11,29,40
Letícia Nascimento,Eletrônicos,18085.0,8449.76,0.23,0.18,2018-10-12,108,427
Ana Sousa,Eletrônicos,14220.0,11462.87,0.19,0.21,2018-10-12,107,379
Gustavo Martins,Eletrônicos,17620.0,7466.69,0.27,0.16,2018-10-12,162,393
Beatriz Santos,Vestuário,8344.1,3505.39,0.24,0.2,2018-10-12,47,127
Camila Lima,Vestuário,3427.24,7145.3,0.27,0.19,2018-10-12,24,75
Thiago Barbosa,Acessórios,5946.77,4322.2,0.64,0.42,2018-10-12,42,109
Letícia Ribeiro,Acessórios,481.79,2679.98,0.22,0.56,2018-10-12,3,9
Enzo Nascimento,Casa,3482.64,5901.14,0.29,0.31,2018-10-12,20,30
Guilherme Santos,Casa,8428.52,9424.24,0.22,0.32,2018-10-12,48,209
Vitória Ribeiro,Brinquedo,1830.38,7576.47,0.28,0.22,2018-10-12,11,32
Julia Araújo,Esportes,19937.16,7702.99,0.18,0.26,2018-10-12,113,213
Lucas Rodrigues,Esportes,4582.46,6805.26,0.35,0.29,2018-10-12,32,48
Thiago Carvalho,Esportes,12214.62,9175.86,0.27,0.27,2018-10-12,72,144
Mateus Barbosa,Eletrônicos,2624.85,5118.14,0.26,0.21,2018-10-12,14,34
Camila Carvalho,Casa,11402.42,11171.86,0.42,0.24,2018-10-12,83,381
Diego Cardoso,Vestuário,11972.63,5286.31,0.1,0.18,2018-10-12,78,222
Jorge Santos,Brinquedo,7681.07,9753.55,0.38,0.28,2018-10-12,45,199
Raphael Silva,Papelaria,1461.58,886.23,0.49,0.41,2018-10-12,9,17
Caroline Reis,Papelaria,822.35,2868.28,0.61,0.5,2018-10-12,2,3
Letícia Nascimento,Eletrônicos,16198.72,5901.68,0.15,0.22,2018-10-13,98,140
Ana Sousa,Eletrônicos,15443.05,6327.32,0.19,0.18,2018-10-13,93,168
Gustavo Martins,Eletrônicos,17379.09,4353.03,0.09,0.2,2018-10-13,183,513
Beatriz Santos,Vestuário,4661.86,6746.51,0.24,0.18,2018-10-13,30,125
Camila Lima,Vestuário,11770.54,6333.26,0.1,0.17,2018-10-13,80,270
Thiago Barbosa,Acessórios,3252.24,1282.0,0.7,0.5,2018-10-13,18,76
Letícia Ribeiro,Acessórios,579.06,1147.48,0.2,0.46,2018-10-13,3,12
Enzo Nascimento,Casa,20799.7,5735.79,0.15,0.25,2018-10-13,185,592
Guilherme Santos,Casa,2270.72,10798.22,0.14,0.33,2018-10-13,14,62
Vitória Ribeiro,Brinquedo,11360.86,7174.82,0.28,0.22,2018-10-13,78,352
Julia Araújo,Esportes,4384.66,9256.59,0.52,0.39,2018-10-13,24,70
Lucas Rodrigues,Esportes,15842.86,5915.99,0.51,0.27,2018-10-13,101,394
Thiago Carvalho,Esportes,6176.59,5524.9,0.47,0.31,2018-10-13,35,127
Mateus Barbosa,Eletrônicos,16002.86,8232.21,0.22,0.23,2018-10-13,105,149
Camila Carvalho,Casa,21742.74,4941.97,0.29,0.33,2018-10-13,156,366
Diego Cardoso,Vestuário,9501.34,7320.8,0.09,0.2,2018-10-13,63,102
Jorge Santos,Brinquedo,1658.3,5279.9,0.16,0.27,2018-10-13,8,33
Raphael Silva,Papelaria,2360.52,1331.1,0.63,0.45,2018-10-13,15,61
Caroline Reis,Papelaria,3011.51,1724.98,0.65,0.52,2018-10-13,20,40
Letícia Nascimento,Eletrônicos,12761.75,6782.09,0.11,0.2,2018-10-14,81,186
Ana Sousa,Eletrônicos,4062.4,3094.27,0.3,0.18,2018-10-14,29,128
Gustavo Martins,Eletrônicos,13844.81,5591.77,0.09,0.2,2018-10-14,80,289
Beatriz Santos,Vestuário,13443.86,3398.36,0.25,0.16,2018-10-14,89,210
Camila Lima,Vestuário,4069.49,7030.37,0.1,0.2,2018-10-14,29,49
Thiago Barbosa,Acessórios,5789.95,1816.54,0.4,0.56,2018-10-14,33,60
Letícia Ribeiro,Acessórios,1796.74,2761.22,0.24,0.56,2018-10-14,11,16
Enzo Nascimento,Casa,9506.05,11649.74,0.2,0.26,2018-10-14,65,191
Guilherme Santos,Casa,18597.69,6320.5,0.26,0.31,2018-10-14,170,551
Vitória Ribeiro,Brinquedo,2987.24,9236.61,0.12,0.29,2018-10-14,18,78
Julia Araújo,Esportes,16315.27,11782.8,0.45,0.34,2018-10-14,122,324
Lucas Rodrigues,Esportes,19679.72,8250.48,0.47,0.38,2018-10-14,137,625
Thiago Carvalho,Esportes,18081.32,9830.84,0.45,0.34,2018-10-14,150,350
Mateus Barbosa,Eletrônicos,10314.2,11128.88,0.28,0.17,2018-10-14,62,234
Camila Carvalho,Casa,6716.95,3939.46,0.18,0.3,2018-10-14,42,106
Diego Cardoso,Vestuário,3816.88,4485.15,0.24,0.21,2018-10-14,18,52
Jorge Santos,Brinquedo,8338.03,6263.62,0.1,0.28,2018-10-14,53,78
Raphael Silva,Papelaria,5419.69,2264.0,0.63,0.49,2018-10-14,35,77
Caroline Reis,Papelaria,1963.17,1458.27,0.22,0.45,2018-10-14,12,20
Letícia Nascimento,Eletrônicos,7601.78,3407.15,0.19,0.19,2018-10-15,47,172
Ana Sousa,Eletrônicos,11401.31,7096.79,0.3,0.21,2018-10-15,80,134
Gustavo Martins,Eletrônicos,5556.76,7144.63,0.26,0.22,2018-10-15,33,114
Beatriz Santos,Vestuário,13886.35,5871.35,0.25,0.15,2018-10-15,83,281
Camila Lima,Vestuário,13829.92,3761.44,0.17,0.2,2018-10-15,89,302
Thiago Barbosa,Acessórios,5442.35,2276.8,0.26,0.52,2018-10-15,33,90
Letícia Ribeiro,Acessórios,5553.83,3508.02,0.48,0.6,2018-10-15,36,57
Enzo Nascimento,Casa,22298.26,9231.62,0.18,0.28,2018-10-15,141,205
Guilherme Santos,Casa,21230.93,5705.84,0.34,0.3,2018-10-15,122,209
Vitória Ribeiro,Brinquedo,13537.96,3757.3,0.29,0.29,2018-10-15,84,347
Julia Araújo,Esportes,17443.78,6121.87,0.22,0.3,2018-10-15,167,699
Lucas Rodrigues,Esportes,6449.22,6902.73,0.31,0.34,2018-10-15,35,77
Thiago Carvalho,Esportes,6471.97,10904.8,0.35,0.29,2018-10-15,42,117
Mateus Barbosa,Eletrônicos,11337.5,10422.27,0.08,0.16,2018-10-15,77,146
Camila Carvalho,Casa,2431.44,8159.31,0.29,0.3,2018-10-15,15,43
Diego Cardoso,Vestuário,3477.06,4076.96,0.07,0.16,2018-10-15,24,96
Jorge Santos,Brinquedo,10061.01,3137.99,0.13,0.26,2018-10-15,62,153
Raphael Silva,Papelaria,1288.06,2018.25,0.4,0.43,2018-10-15,3,11
Caroline Reis,Papelaria,2737.73,1872.2,0.68,0.43,2018-10-15,15,69
Letícia Nascimento,Eletrônicos,14061.06,7927.18,0.14,0.19,2018-10-16,104,480
Ana Sousa,Eletrônicos,15441.8,7767.74,0.3,0.22,2018-10-16,101,290
Gustavo Martins,Eletrônicos,18809.89,11266.36,0.21,0.17,2018-10-16,182,750
Beatriz Santos,Vestuário,4663.26,5724.18,0.24,0.15,2018-10-16,32,120
Camila Lima,Vestuário,1764.34,4828.54,0.15,0.15,2018-10-16,8,13
Thiago Barbosa,Acessórios,5680.94,1963.8,0.36,0.46,2018-10-16,33,64
Letícia Ribeiro,Acessórios,3258.56,3955.95,0.38,0.56,2018-10-16,21,70
Enzo Nascimento,Casa,4193.68,11686.21,0.36,0.26,2018-10-16,24,36
Guilherme Santos,Casa,4744.3,13496.83,0.17,0.3,2018-10-16,29,101
Vitória Ribeiro,Brinquedo,9499.5,5505.64,0.39,0.3,2018-10-16,65,156
Julia Araújo,Esportes,12376.19,12111.48,0.51,0.33,2018-10-16,80,330
Lucas Rodrigues,Esportes,14770.78,11559.67,0.16,0.34,2018-10-16,108,313
Thiago Carvalho,Esportes,1664.33,3757.0,0.44,0.31,2018-10-16,6,18
Mateus Barbosa,Eletrônicos,15965.86,11182.12,0.14,0.19,2018-10-16,92,189
Camila Carvalho,Casa,2617.94,9135.97,0.23,0.29,2018-10-16,17,65
Diego Cardoso,Vestuário,3326.13,4538.47,0.27,0.19,2018-10-16,21,91
Jorge Santos,Brinquedo,14866.0,7339.95,0.34,0.23,2018-10-16,90,324
Raphael Silva,Papelaria,320.15,3112.7,0.38,0.45,2018-10-16,3,13
Caroline Reis,Papelaria,4674.02,2955.71,0.63,0.41,2018-10-16,29,127
Letícia Nascimento,Eletrônicos,18573.61,6392.34,0.3,0.18,2018-10-17,140,360
Ana Sousa,Eletrônicos,13250.88,5781.35,0.18,0.2,2018-10-17,89,271
Gustavo Martins,Eletrônicos,6703.83,9857.97,0.3,0.24,2018-10-17,38,159
Beatriz Santos,Vestuário,11950.94,3165.37,0.27,0.14,2018-10-17,75,284
Camila Lima,Vestuário,7688.14,6618.82,0.22,0.18,2018-10-17,47,176
Thiago Barbosa,Acessórios,5590.58,1754.48,0.42,0.48,2018-10-17,33,52
Letícia Ribeiro,Acessórios,4617.65,3814.54,0.68,0.58,2018-10-17,30,67
Enzo Nascimento,Casa,4443.37,10964.34,0.22,0.25,2018-10-17,29,96
Guilherme Santos,Casa,9719.73,7097.42,0.34,0.32,2018-10-17,53,121
Vitória Ribeiro,Brinquedo,15893.46,4239.52,0.2,0.28,2018-10-17,102,158
Julia Araújo,Esportes,16767.99,8171.78,0.23,0.26,2018-10-17,128,506
Lucas Rodrigues,Esportes,10969.83,3850.51,0.3,0.36,2018-10-17,71,293
Thiago Carvalho,Esportes,14572.96,8203.3,0.51,0.36,2018-10-17,95,156
Mateus Barbosa,Eletrônicos,15876.68,4789.01,0.31,0.18,2018-10-17,105,461
Camila Carvalho,Casa,13741.81,10382.24,0.28,0.26,2018-10-17,86,230
Diego Cardoso,Vestuário,2122.36,8027.08,0.22,0.14,2018-10-17,11,29
Jorge Santos,Brinquedo,11538.02,4101.08,0.27,0.26,2018-10-17,71,284
Raphael Silva,Papelaria,1303.18,2334.8,0.32,0.36,2018-10-17,3,11
Caroline Reis,Papelaria,2811.15,2979.65,0.41,0.47,2018-10-17,15,42
Letícia Nascimento,Eletrônicos,16153.07,11166.08,0.24,0.22,2018-10-18,107,364
Ana Sousa,Eletrônicos,652.3,10915.13,0.09,0.18,2018-10-18,2,3
Gustavo Martins,Eletrônicos,6659.41,2973.6,0.28,0.2,2018-10-18,41,121
Beatriz Santos,Vestuário,7206.7,6721.96,0.24,0.18,2018-10-18,44,191
Camila Lima,Vestuário,8944.56,6307.72,0.1,0.2,2018-10-18,57,89
Thiago Barbosa,Acessórios,5359.03,2996.98,0.36,0.44,2018-10-18,38,151
Letícia Ribeiro,Acessórios,4429.22,1340.96,0.56,0.52,2018-10-18,24,108
Enzo Nascimento,Casa,2873.34,11417.62,0.36,0.26,2018-10-18,21,43
Guilherme Santos,Casa,6307.54,11304.68,0.18,0.23,2018-10-18,35,91
Vitória Ribeiro,Brinquedo,9560.2,9519.88,0.12,0.27,2018-10-18,65,168
Julia Araújo,Esportes,8364.74,7513.6,0.51,0.38,2018-10-18,45,93
Lucas Rodrigues,Esportes,9731.54,10064.66,0.26,0.34,2018-10-18,63,159
Thiago Carvalho,Esportes,15079.27,9791.68,0.4,0.38,2018-10-18,98,422
Mateus Barbosa,Eletrônicos,15297.91,9108.43,0.23,0.19,2018-10-18,104,309
Camila Carvalho,Casa,6425.62,9080.98,0.31,0.32,2018-10-18,39,113
Diego Cardoso,Vestuário,7999.22,2815.09,0.2,0.15,2018-10-18,48,159
Jorge Santos,Brinquedo,2476.3,4909.57,0.15,0.24,2018-10-18,15,62
Raphael Silva,Papelaria,4649.78,958.36,0.2,0.45,2018-10-18,30,70
Caroline Reis,Papelaria,5489.64,1744.22,0.36,0.41,2018-10-18,33,85
Letícia Nascimento,Eletrônicos,3441.2,5601.06,0.28,0.17,2018-10-19,21,34
Ana Sousa,Eletrônicos,14430.04,10085.04,0.26,0.22,2018-10-19,98,454
Gustavo Martins,Eletrônicos,10522.8,8844.03,0.3,0.19,2018-10-19,66,168
Beatriz Santos,Vestuário,13923.4,7009.67,0.25,0.15,2018-10-19,80,345
Camila Lima,Vestuário,12874.48,2981.92,0.19,0.17,2018-10-19,81,179
Thiago Barbosa,Acessórios,573.97,4190.92,0.7,0.42,2018-10-19,3,13
Letícia Ribeiro,Acessórios,6355.66,1187.1,0.34,0.56,2018-10-19,38,138
Enzo Nascimento,Casa,18443.88,11674.35,0.4,0.24,2018-10-19,144,575
Guilherme Santos,Casa,22188.4,11231.6,0.29,0.31,2018-10-19,150,306
Vitória Ribeiro,Brinquedo,1479.67,9137.41,0.1,0.24,2018-10-19,8,14
Julia Araújo,Esportes,6785.86,8361.81,0.4,0.29,2018-10-19,42,140
Lucas Rodrigues,Esportes,7725.4,7465.05,0.43,0.29,2018-10-19,47,64
Thiago Carvalho,Esportes,13998.04,7865.41,0.22,0.26,2018-10-19,90,402
Mateus Barbosa,Eletrônicos,12876.64,3072.56,0.15,0.22,2018-10-19,83,294
Camila Carvalho,Casa,7262.03,10276.88,0.2,0.32,2018-10-19,42,134
Diego Cardoso,Vestuário,13969.78,3421.26,0.08,0.19,2018-10-19,89,368
Jorge Santos,Brinquedo,15851.0,8899.67,0.28,0.23,2018-10-19,95,371
Raphael Silva,Papelaria,3426.57,2327.08,0.23,0.45,2018-10-19,21,96
Caroline Reis,Papelaria,4071.4,1355.31,0.59,0.45,2018-10-19,27,95
Letícia Nascimento,Eletrônicos,18015.34,8074.51,0.1,0.23,2018-10-20,144,363
Ana Sousa,Eletrônicos,11176.29,8681.42,0.31,0.22,2018-10-20,75,133
Gustavo Martins,Eletrônicos,16341.8,7433.55,0.27,0.23,2018-10-20,144,415
Beatriz Santos,Vestuário,4228.4,5207.33,0.08,0.14,2018-10-20,26,93
Camila Lima,Vestuário,8426.77,3016.73,0.23,0.15,2018-10-20,51,160
Thiago Barbosa,Acessórios,6101.86,2463.5,0.78,0.46,2018-10-20,36,94
Letícia Ribeiro,Acessórios,5058.14,1558.12,0.24,0.6,2018-10-20,32,146
Enzo Nascimento,Casa,14248.66,3815.01,0.29,0.25,2018-10-20,107,164
Guilherme Santos,Casa,17173.48,12413.05,0.43,0.25,2018-10-20,162,364
Vitória Ribeiro,Brinquedo,660.62,8445.78,0.33,0.23,2018-10-20,3,10
Julia Araújo,Esportes,1893.53,7333.67,0.45,0.36,2018-10-20,12,33
Lucas Rodrigues,Esportes,14341.36,3615.79,0.48,0.35,2018-10-20,93,136
Thiago Carvalho,Esportes,18777.8,8013.58,0.3,0.36,2018-10-20,165,663
Mateus Barbosa,Eletrônicos,17506.73,4639.61,0.12,0.2,2018-10-20,129,196
Camila Carvalho,Casa,12365.46,5324.38,0.42,0.24,2018-10-20,75,166
Diego Cardoso,Vestuário,10221.59,4368.74,0.17,0.15,2018-10-20,63,232
Jorge Santos,Brinquedo,3875.24,6024.96,0.22,0.27,2018-10-20,23,64
Raphael Silva,Papelaria,5446.12,2594.52,0.29,0.49,2018-10-20,38,57
Caroline Reis,Papelaria,1299.46,3181.84,0.32,0.54,2018-10-20,6,18
Letícia Nascimento,Eletrônicos,4014.76,9884.84,0.14,0.2,2018-10-21,24,69
Ana Sousa,Eletrônicos,17854.38,11136.67,0.18,0.2,2018-10-21,120,530
Gustavo Martins,Eletrônicos,17864.64,11305.48,0.18,0.2,2018-10-21,170,760
Beatriz Santos,Vestuário,3170.41,3472.02,0.1,0.2,2018-10-21,21,60
Camila Lima,Vestuário,7447.05,3271.36,0.2,0.18,2018-10-21,47,143
Thiago Barbosa,Acessórios,3744.43,2952.5,0.22,0.5,2018-10-21,21,85
Letícia Ribeiro,Acessórios,2683.33,4014.7,0.76,0.48,2018-10-21,17,28
Enzo Nascimento,Casa,8027.75,6986.45,0.35,0.28,2018-10-21,47,106
Guilherme Santos,Casa,9132.59,6576.23,0.14,0.3,2018-10-21,62,182
Vitória Ribeiro,Brinquedo,3127.48,3496.28,0.27,0.23,2018-10-21,21,98
Julia Araújo,Esportes,11430.58,4447.62,0.39,0.35,2018-10-21,72,293
Lucas Rodrigues,Esportes,19942.06,4097.81,0.26,0.29,2018-10-21,132,205
Thiago Carvalho,Esportes,11085.84,12632.15,0.21,0.27,2018-10-21,65,217
Mateus Barbosa,Eletrônicos,10790.26,7251.64,0.18,0.18,2018-10-21,72,186
Camila Carvalho,Casa,14275.78,6310.53,0.3,0.28,2018-10-21,104,401
Diego Cardoso,Vestuário,7160.9,4236.1,0.27,0.2,2018-10-21,47,200
Jorge Santos,Brinquedo,9519.8,7367.6,0.12,0.3,2018-10-21,53,171
Raphael Silva,Papelaria,203.11,1041.19,0.47,0.52,2018-10-21,2,3
Caroline Reis,Papelaria,5618.95,3345.75,0.27,0.45,2018-10-21,35,92
Letícia Nascimento,Eletrônicos,11126.81,6695.96,0.1,0.19,2018-10-22,71,260
Ana Sousa,Eletrônicos,10574.08,10049.65,0.24,0.19,2018-10-22,63,229
Gustavo Martins,Eletrônicos,13894.85,5489.1,0.3,0.24,2018-10-22,81,187
Beatriz Santos,Vestuário,4961.63,6924.64,0.21,0.2,2018-10-22,32,124
Camila Lima,Vestuário,6953.98,8695.51,0.15,0.15,2018-10-22,47,85
Thiago Barbosa,Acessórios,626.83,1812.89,0.66,0.46,2018-10-22,2,3
Letícia Ribeiro,Acessórios,3907.76,2465.93,0.4,0.42,2018-10-22,20,81
Enzo Nascimento,Casa,5555.56,4843.8,0.21,0.23,2018-10-22,35,80
Guilherme Santos,Casa,19396.87,10869.3,0.15,0.29,2018-10-22,116,513
Vitória Ribeiro,Brinquedo,10427.15,6070.82,0.11,0.27,2018-10-22,69,118
Julia Araújo,Esportes,15408.38,9597.13,0.3,0.36,2018-10-22,105,277
Lucas Rodrigues,Esportes,19285.97,5664.06,0.45,0.36,2018-10-22,107,287
Thiago Carvalho,Esportes,16464.87,4206.71,0.13,0.36,2018-10-22,179,714
Mateus Barbosa,Eletrônicos,6983.71,5081.02,0.18,0.16,2018-10-22,45,179
Camila Carvalho,Casa,22428.43,11935.19,0.22,0.3,2018-10-22,165,394
Diego Cardoso,Vestuário,2608.22,4818.02,0.08,0.15,2018-10-22,15,32
Jorge Santos,Brinquedo,16006.79,9579.26,0.21,0.22,2018-10-22,107,349
Raphael Silva,Papelaria,3740.49,2777.8,0.38,0.45,2018-10-22,18,44
Caroline Reis,Papelaria,2603.0,2929.43,0.68,0.52,2018-10-22,17,56
Letícia Nascimento,Eletrônicos,2525.87,7808.11,0.11,0.23,2018-10-23,15,37
Ana Sousa,Eletrônicos,3760.9,10081.17,0.19,0.17,2018-10-23,18,35
Gustavo Martins,Eletrônicos,4413.08,3689.3,0.1,0.17,2018-10-23,24,65
Beatriz Santos,Vestuário,10878.23,6242.09,0.08,0.19,2018-10-23,69,321
Camila Lima,Vestuário,14129.89,3924.97,0.27,0.16,2018-10-23,93,173
Thiago Barbosa,Acessórios,6199.2,2316.31,0.62,0.44,2018-10-23,39,132
